# idx	t_ms	dt_ms	rects	dmg_px	dmg_pct
572	3317.45	3.34	0	0	0.00
573	3320.78	3.34	0	0	0.00
574	3324.15	3.37	0	0	0.00
575	3327.40	3.24	0	0	0.00
576	3330.78	3.38	0	0	0.00
577	3334.18	3.41	0	0	0.00
578	3337.47	3.29	0	0	0.00
579	3340.85	3.38	0	0	0.00
580	3344.09	3.24	0	0	0.00
581	3347.39	3.30	0	0	0.00
582	3350.88	3.49	0	0	0.00
583	3354.10	3.23	0	0	0.00
584	3357.46	3.35	0	0	0.00
585	3360.75	3.30	0	0	0.00
586	3364.16	3.41	0	0	0.00
587	3367.45	3.29	0	0	0.00
588	3370.91	3.45	0	0	0.00
589	3374.15	3.25	0	0	0.00
590	3377.40	3.24	0	0	0.00
591	3380.78	3.39	0	0	0.00
592	3384.17	3.39	0	0	0.00
593	3387.43	3.26	0	0	0.00
594	3390.76	3.33	0	0	0.00
595	3394.12	3.36	0	0	0.00
596	3397.43	3.31	0	0	0.00
597	3400.81	3.38	0	0	0.00
598	3404.16	3.35	0	0	0.00
599	3407.39	3.22	0	0	0.00
600	3410.74	3.35	0	0	0.00
601	3414.17	3.43	0	0	0.00
602	3417.44	3.27	0	0	0.00
603	3420.78	3.35	0	0	0.00
604	3424.08	3.30	0	0	0.00
605	3427.44	3.36	0	0	0.00
606	3430.81	3.37	0	0	0.00
607	3434.12	3.31	0	0	0.00
608	3437.45	3.33	0	0	0.00
609	3440.72	3.27	0	0	0.00
610	3444.12	3.40	0	0	0.00
611	3447.46	3.34	0	0	0.00
612	3450.74	3.28	0	0	0.00
613	3454.17	3.43	0	0	0.00
614	3457.42	3.25	0	0	0.00
615	3460.73	3.31	0	0	0.00
616	3464.28	3.55	0	0	0.00
617	3467.41	3.13	0	0	0.00
618	3470.80	3.39	0	0	0.00
619	3474.15	3.34	0	0	0.00
620	3477.58	3.43	0	0	0.00
621	3480.75	3.17	0	0	0.00
622	3484.17	3.42	0	0	0.00
623	3487.42	3.25	0	0	0.00
624	3490.86	3.44	0	0	0.00
625	3494.13	3.27	0	0	0.00
626	3497.49	3.36	0	0	0.00
627	3500.78	3.29	0	0	0.00
628	3504.16	3.38	0	0	0.00
629	3507.49	3.32	0	0	0.00
630	3510.83	3.34	0	0	0.00
631	3514.20	3.37	0	0	0.00
632	3517.42	3.22	0	0	0.00
633	3520.92	3.50	0	0	0.00
634	3524.33	3.41	0	0	0.00
635	3527.44	3.11	0	0	0.00
636	3530.72	3.28	0	0	0.00
637	3534.14	3.42	0	0	0.00
638	3537.56	3.42	0	0	0.00
639	3540.84	3.29	0	0	0.00
640	3544.27	3.43	0	0	0.00
641	3547.44	3.17	0	0	0.00
642	3550.81	3.37	0	0	0.00
643	3554.17	3.36	0	0	0.00
644	3557.46	3.29	0	0	0.00
645	3560.80	3.34	0	0	0.00
646	3564.19	3.39	0	0	0.00
647	3567.51	3.32	0	0	0.00
648	3570.75	3.24	0	0	0.00
649	3574.08	3.34	0	0	0.00
650	3577.57	3.49	0	0	0.00
651	3580.74	3.17	0	0	0.00
652	3584.17	3.43	0	0	0.00
653	3587.43	3.26	0	0	0.00
654	3590.78	3.35	0	0	0.00
655	3594.11	3.33	0	0	0.00
656	3597.50	3.40	0	0	0.00
657	3601.77	4.27	0	0	0.00
658	3604.09	2.32	0	0	0.00
659	3607.51	3.42	0	0	0.00
660	3610.84	3.33	0	0	0.00
661	3614.26	3.42	0	0	0.00
662	3617.43	3.17	0	0	0.00
663	3620.80	3.37	0	0	0.00
664	3624.14	3.34	0	0	0.00
665	3627.61	3.47	0	0	0.00
666	3630.77	3.16	0	0	0.00
667	3635.90	5.13	0	0	0.00
668	3637.60	1.70	0	0	0.00
669	3640.75	3.15	0	0	0.00
670	3644.07	3.32	0	0	0.00
671	3647.60	3.54	0	0	0.00
672	3651.03	3.43	0	0	0.00
673	3654.21	3.18	0	0	0.00
674	3657.59	3.38	0	0	0.00
675	3660.78	3.19	0	0	0.00
676	3664.24	3.45	0	0	0.00
677	3667.40	3.17	0	0	0.00
678	3670.84	3.44	0	0	0.00
679	3674.10	3.25	0	0	0.00
680	3677.61	3.51	0	0	0.00
681	3680.76	3.15	0	0	0.00
682	3684.08	3.32	0	0	0.00
683	3687.50	3.43	0	0	0.00
684	3690.91	3.41	0	0	0.00
685	3694.08	3.17	0	0	0.00
686	3697.64	3.55	0	0	0.00
687	3700.74	3.10	0	0	0.00
688	3704.09	3.36	0	0	0.00
689	3707.41	3.32	0	0	0.00
690	3711.00	3.59	0	0	0.00
691	3714.18	3.18	0	0	0.00
692	3717.54	3.36	0	0	0.00
693	3720.79	3.25	0	0	0.00
694	3724.15	3.35	0	0	0.00
695	3727.50	3.35	0	0	0.00
696	3730.83	3.33	0	0	0.00
697	3734.08	3.25	0	0	0.00
698	3737.41	3.33	0	0	0.00
699	3740.78	3.37	0	0	0.00
700	3744.16	3.39	0	0	0.00
701	3747.42	3.26	0	0	0.00
702	3750.88	3.46	0	0	0.00
703	3754.12	3.24	0	0	0.00
704	3757.49	3.37	0	0	0.00
705	3760.75	3.26	0	0	0.00
706	3764.07	3.32	0	0	0.00
707	3767.40	3.32	0	0	0.00
708	3770.90	3.50	0	0	0.00
709	3774.08	3.17	0	0	0.00
710	3777.47	3.39	0	0	0.00
711	3780.83	3.36	0	0	0.00
712	3784.06	3.23	0	0	0.00
713	3787.40	3.34	0	0	0.00
714	3790.85	3.45	0	0	0.00
715	3794.08	3.23	0	0	0.00
716	3797.45	3.37	0	0	0.00
717	3800.79	3.34	0	0	0.00
718	3804.08	3.28	0	0	0.00
719	3807.44	3.36	0	0	0.00
720	3810.89	3.45	0	0	0.00
721	3814.10	3.22	0	0	0.00
722	3817.42	3.31	0	0	0.00
723	3820.83	3.41	0	0	0.00
724	3824.10	3.27	0	0	0.00
725	3827.41	3.32	0	0	0.00
726	3830.91	3.50	0	0	0.00
727	3834.20	3.29	0	0	0.00
728	3837.43	3.24	0	0	0.00
729	3840.75	3.32	0	0	0.00
730	3844.27	3.52	0	0	0.00
731	3847.38	3.11	0	0	0.00
732	3850.89	3.51	0	0	0.00
733	3854.07	3.18	0	0	0.00
734	3857.45	3.38	0	0	0.00
735	3860.79	3.34	0	0	0.00
